id_edificacion,tipo_resultado,area_lidar_m2,area_catastro_m2,area_discrepancia_m2,porcentaje_coincidencia,diferencia_superficies_m2,distancia_centroides_m
CAT_91,posible_demolicion,0.0,19.64,19.64,0.0,-19.64,0.0
CAT_92,posible_demolicion,0.0,15.15,15.15,0.0,-15.15,0.0
CAT_93,posible_demolicion,0.0,85.48,85.48,0.0,-85.48,0.0
CAT_94,posible_demolicion,0.0,98.14,98.14,0.0,-98.14,0.0
CAT_95,posible_demolicion,0.0,119.08,119.08,0.0,-119.08,0.0
CAT_96,posible_demolicion,0.0,42.38,42.38,0.0,-42.38,0.0
CAT_97,posible_demolicion,0.0,159.22,159.22,0.0,-159.22,0.0
CAT_98,posible_demolicion,0.0,29.1,29.1,0.0,-29.1,0.0
CAT_99,posible_demolicion,0.0,10.91,10.91,0.0,-10.91,0.0
CAT_100,posible_demolicion,0.0,312.04,312.04,0.0,-312.04,0.0
CAT_101,posible_demolicion,0.0,88.8,88.8,0.0,-88.8,0.0
CAT_102,posible_demolicion,0.0,47.16,47.16,0.0,-47.16,0.0
CAT_103,posible_demolicion,0.0,73.94,73.94,0.0,-73.94,0.0
CAT_104,posible_demolicion,0.0,21.63,21.63,0.0,-21.63,0.0
CAT_105,posible_demolicion,0.0,18.79,18.79,0.0,-18.79,0.0
CAT_106,posible_demolicion,0.0,33.95,33.95,0.0,-33.95,0.0
CAT_107,posible_demolicion,0.0,51.47,51.47,0.0,-51.47,0.0
CAT_108,posible_demolicion,0.0,1955.66,1955.66,0.0,-1955.66,0.0
CAT_109,posible_demolicion,0.0,15.19,15.19,0.0,-15.19,0.0
CAT_110,posible_demolicion,0.0,15.19,15.19,0.0,-15.19,0.0
CAT_111,posible_demolicion,0.0,23.33,23.33,0.0,-23.33,0.0
CAT_112,posible_demolicion,0.0,23.1,23.1,0.0,-23.1,0.0
CAT_113,posible_demolicion,0.0,23.98,23.98,0.0,-23.98,0.0
CAT_114,posible_demolicion,0.0,22.81,22.81,0.0,-22.81,0.0
CAT_115,posible_demolicion,0.0,12.8,12.8,0.0,-12.8,0.0
CAT_116,posible_demolicion,0.0,15.15,15.15,0.0,-15.15,0.0
CAT_117,posible_demolicion,0.0,15.19,15.19,0.0,-15.19,0.0
CAT_118,posible_demolicion,0.0,19.2,19.2,0.0,-19.2,0.0
CAT_119,posible_demolicion,0.0,19.19,19.19,0.0,-19.19,0.0
CAT_120,posible_demolicion,0.0,64.24,64.24,0.0,-64.24,0.0
CAT_121,posible_demolicion,0.0,64.26,64.26,0.0,-64.26,0.0
CAT_122,posible_demolicion,0.0,64.21,64.21,0.0,-64.21,0.0
CAT_123,posible_demolicion,0.0,64.27,64.27,0.0,-64.27,0.0
CAT_124,posible_demolicion,0.0,19.2,19.2,0.0,-19.2,0.0
CAT_125,posible_demolicion,0.0,19.19,19.19,0.0,-19.19,0.0
CAT_126,posible_demolicion,0.0,227.64,227.64,0.0,-227.64,0.0
CAT_127,posible_demolicion,0.0,428.57,428.57,0.0,-428.57,0.0
CAT_128,posible_demolicion,0.0,339.15,339.15,0.0,-339.15,0.0
CAT_129,posible_demolicion,0.0,2486.48,2486.48,0.0,-2486.48,0.0
CAT_130,posible_demolicion,0.0,1050.09,1050.09,0.0,-1050.09,0.0
CAT_131,posible_demolicion,0.0,10.01,10.01,0.0,-10.01,0.0
CAT_132,posible_demolicion,0.0,162.66,162.66,0.0,-162.66,0.0
CAT_133,posible_demolicion,0.0,48.95,48.95,0.0,-48.95,0.0
CAT_134,posible_demolicion,0.0,1990.32,1990.32,0.0,-1990.32,0.0
CAT_135,posible_demolicion,0.0,275.1,275.1,0.0,-275.1,0.0
CAT_136,posible_demolicion,0.0,97.02,97.02,0.0,-97.02,0.0
CAT_137,posible_demolicion,0.0,210.29,210.29,0.0,-210.29,0.0
CAT_138,posible_demolicion,0.0,10.03,10.03,0.0,-10.03,0.0
CAT_139,posible_demolicion,0.0,189.59,189.59,0.0,-189.59,0.0
CAT_140,posible_demolicion,0.0,13.45,13.45,0.0,-13.45,0.0
CAT_141,posible_demolicion,0.0,317.24,317.24,0.0,-317.24,0.0
CAT_142,posible_demolicion,0.0,1314.64,1314.64,0.0,-1314.64,0.0
CAT_143,posible_demolicion,0.0,1015.19,1015.19,0.0,-1015.19,0.0
CAT_144,posible_demolicion,0.0,32.41,32.41,0.0,-32.41,0.0
CAT_145,posible_demolicion,0.0,395.6,395.6,0.0,-395.6,0.0
CAT_146,posible_demolicion,0.0,481.74,481.74,0.0,-481.74,0.0
CAT_147,posible_demolicion,0.0,1103.1,1103.1,0.0,-1103.1,0.0
CAT_148,posible_demolicion,0.0,340.24,340.24,0.0,-340.24,0.0
CAT_149,posible_demolicion,0.0,490.9,490.9,0.0,-490.9,0.0
CAT_150,posible_demolicion,0.0,1864.74,1864.74,0.0,-1864.74,0.0
CAT_151,posible_demolicion,0.0,337.17,337.17,0.0,-337.17,0.0
CAT_152,posible_demolicion,0.0,152.35,152.35,0.0,-152.35,0.0
CAT_153,posible_demolicion,0.0,319.35,319.35,0.0,-319.35,0.0
CAT_154,posible_demolicion,0.0,39.16,39.16,0.0,-39.16,0.0
CAT_155,posible_demolicion,0.0,50.82,50.82,0.0,-50.82,0.0
CAT_156,posible_demolicion,0.0,74.92,74.92,0.0,-74.92,0.0
CAT_157,posible_demolicion,0.0,49.19,49.19,0.0,-49.19,0.0
CAT_158,posible_demolicion,0.0,71.72,71.72,0.0,-71.72,0.0
CAT_159,posible_demolicion,0.0,48.85,48.85,0.0,-48.85,0.0
CAT_160,posible_demolicion,0.0,73.11,73.11,0.0,-73.11,0.0
CAT_161,posible_demolicion,0.0,39.41,39.41,0.0,-39.41,0.0
CAT_162,posible_demolicion,0.0,56.62,56.62,0.0,-56.62,0.0
CAT_163,posible_demolicion,0.0,3.01,3.01,0.0,-3.01,0.0
CAT_164,posible_demolicion,0.0,7.0,7.0,0.0,-7.0,0.0
CAT_165,posible_demolicion,0.0,89.07,89.07,0.0,-89.07,0.0
CAT_166,posible_demolicion,0.0,22.71,22.71,0.0,-22.71,0.0
CAT_167,posible_demolicion,0.0,8.71,8.71,0.0,-8.71,0.0
CAT_168,posible_demolicion,0.0,10.68,10.68,0.0,-10.68,0.0
CAT_169,posible_demolicion,0.0,12.6,12.6,0.0,-12.6,0.0
CAT_170,posible_demolicion,0.0,104.96,104.96,0.0,-104.96,0.0
